Date,State,Incident Description
1972,Pennsylvania,Tropical Storm
1972,Maryland,Tropical Storm
1972,Florida,Tropical Storm
1972,Virginia,Tropical Storm
1972,South Dakota,Severe Storm/Flooding
1972,North Dakota,Severe Storm/Flooding
1972,Washington,Severe Storm/Flooding
1972,Texas,Severe Storm/Flooding
1972,Tennessee,Severe Storm/Flooding
1972,Kentucky,Severe Storm/Flooding
1972,California,Severe Storm/Flooding
1972,Michigan,Winter Storm
1972,Washington,Severe Storm/Flooding
1972,New Hampshire,Other
1972,Maine,Severe Storm/Flooding
1972,Massachusetts,Severe Storm/Flooding
1972,Idaho,Severe Storm/Flooding
1972,West Virginia,Severe Storm/Flooding
1972,Washington,Severe Storm/Flooding
1972,Texas,Severe Storm/Flooding
1972,Arkansas,Severe Storm/Flooding
1972,Oregon,Severe Storm/Flooding
1972,Mississippi,Severe Storm/Flooding
1972,Oklahoma,Severe Storm/Flooding
1972,California,Severe Storm/Flooding
1973,Oklahoma,Severe Storm/Flooding
1973,Missouri,Severe Storm/Flooding
1973,Nebraska,Severe Storm/Flooding
1973,Massachusetts,Fire
1973,Oklahoma,Severe Storm/Flooding
1973,Kansas,Severe Storm/Flooding
1973,Oregon,Fire
1973,Oregon,Fire
1973,Montana,Fire
1973,Oregon,Fire
1973,Montana,Fire
1973,Oregon,Fire
1973,Oregon,Fire
1973,Montana,Fire
1973,New Jersey,Severe Storm/Flooding
1973,New York,Severe Storm/Flooding
1973,Pennsylvania,Severe Storm/Flooding
1973,Texas,Severe Storm/Flooding
1973,New Hampshire,Severe Storm/Flooding
1973,Vermont,Severe Storm/Flooding
1973,Colorado,Severe Storm/Flooding
1973,Tennessee,Severe Storm/Flooding
1973,North Carolina,Severe Storm/Flooding
1973,Texas,Severe Storm/Flooding
1973,Oklahoma,Severe Storm/Flooding
1973,Georgia,Severe Storm/Flooding
1973,Ohio,Other
1973,Arkansas,Severe Storm/Flooding
1973,Alabama,Severe Storm/Flooding
1973,Florida,Severe Storm/Flooding
1973,Maine,Severe Storm/Flooding
1973,Colorado,Winter Storm
1973,Iowa,Severe Storm/Flooding
1973,Kentucky,Severe Storm/Flooding
1973,Tennessee,Severe Storm/Flooding
1973,New Mexico,Winter Storm
1973,Colorado,Other
1973,Kansas,Severe Storm/Flooding
1973,Arkansas,Severe Storm/Flooding
1973,Louisiana,Severe Storm/Flooding
1973,Ohio,Severe Storm/Flooding
1973,Wisconsin,Severe Storm/Flooding
1973,Illinois,Severe Storm/Flooding
1973,Missouri,Severe Storm/Flooding
1973,Michigan,Severe Storm/Flooding
1973,Georgia,Severe Storm/Flooding
1973,Mississippi,Severe Storm/Flooding
1973,Alabama,Severe Storm/Flooding
1973,Tennessee,Severe Storm/Flooding
1973,New York,Severe Storm/Flooding
1973,Texas,Severe Storm/Flooding
1973,California,Severe Storm/Flooding
1974,New Jersey,Severe Storm/Flooding
1974,Texas,Severe Storm/Flooding
1974,Oklahoma,Severe Storm/Flooding
1974,New York,Severe Storm/Flooding
1974,Louisiana,Severe Storm/Flooding
1974,Louisiana,Tropical Storm
1974,Arkansas,Other
1974,New York,Severe Storm/Flooding
1974,Minnesota,Severe Storm/Flooding
1974,Ohio,Severe Storm/Flooding
1974,South Dakota,Fire
1974,Iowa,Severe Storm/Flooding
1974,Oklahoma,Severe Storm/Flooding
1974,Minnesota,Severe Storm/Flooding
1974,Kansas,Severe Storm/Flooding
1974,Missouri,Severe Storm/Flooding
1974,Illinois,Severe Storm/Flooding
1974,Arkansas,Severe Storm/Flooding
1974,Ohio,Severe Storm/Flooding
1974,Arkansas,Severe Storm/Flooding
1974,New Mexico,Fire
1974,North Dakota,Winter Storm
1974,California,Severe Storm/Flooding
1974,Wisconsin,Severe Storm/Flooding
1974,Mississippi,Severe Storm/Flooding
1974,North Carolina,Severe Storm/Flooding
1974,Michigan,Severe Storm/Flooding
1974,West Virginia,Severe Storm/Flooding
1974,Illinois,Severe Storm/Flooding
1974,Georgia,Severe Storm/Flooding
1974,Kentucky,Severe Storm/Flooding
1974,Tennessee,Severe Storm/Flooding
1974,Alabama,Severe Storm/Flooding
1974,Indiana,Severe Storm/Flooding
1974,Ohio,Severe Storm/Flooding
1974,Oklahoma,Severe Storm/Flooding
1974,Louisiana,Severe Storm/Flooding
1974,Montana,Severe Storm/Flooding
1974,West Virginia,Severe Storm/Flooding
1974,Idaho,Winter Storm
1974,Washington,Winter Storm
1974,Oregon,Winter Storm
1974,California,Severe Storm/Flooding
1974,New Hampshire,Severe Storm/Flooding
1974,Maine,Severe Storm/Flooding
1975,Washington,Severe Storm/Flooding
1975,Oklahoma,Severe Storm/Flooding
1975,Maryland,Severe Storm/Flooding
1975,New York,Severe Storm/Flooding
1975,Alabama,Severe Storm/Flooding
1975,Michigan,Severe Storm/Flooding
1975,Florida,Severe Storm/Flooding
1975,Pennsylvania,Severe Storm/Flooding
1975,Wisconsin,Severe Storm/Flooding
1975,West Virginia,Severe Storm/Flooding
1975,Ohio,Severe Storm/Flooding
1975,Florida,Severe Storm/Flooding
1975,South Dakota,Fire
1975,Illinois,Severe Storm/Flooding
1975,New Jersey,Severe Storm/Flooding
1975,Minnesota,Severe Storm/Flooding
1975,North Dakota,Severe Storm/Flooding
1975,Oklahoma,Severe Storm/Flooding
1975,Minnesota,Severe Storm/Flooding
1975,Montana,Winter Storm
1975,Arkansas,Severe Storm/Flooding
1975,Louisiana,Severe Storm/Flooding
1975,North Dakota,Winter Storm
1975,Kentucky,Severe Storm/Flooding
1975,Nebraska,Severe Storm/Flooding
1975,Missouri,Severe Storm/Flooding
1975,Michigan,Severe Storm/Flooding
1975,Alabama,Severe Storm/Flooding
1975,Louisiana,Severe Storm/Flooding
1975,Mississippi,Severe Storm/Flooding
1975,Arkansas,Severe Storm/Flooding
1975,Texas,Severe Storm/Flooding
1975,Kentucky,Severe Storm/Flooding
1975,Georgia,Severe Storm/Flooding
1975,Tennessee,Severe Storm/Flooding
1975,Kentucky,Other
1975,Georgia,Severe Storm/Flooding
1975,Alabama,Severe Storm/Flooding
1975,Texas,Severe Storm/Flooding
1975,Mississippi,Severe Storm/Flooding
1975,Mississippi,Severe Storm/Flooding
1975,Alabama,Severe Storm/Flooding
1976,Arkansas,Other
1976,Pennsylvania,Severe Storm/Flooding
1976,Virginia,Other
1976,Maryland,Severe Storm/Flooding
1976,Minnesota,Fire
1976,Missouri,Other
1976,California,Tropical Storm
1976,Minnesota,Fire
1976,Minnesota,Fire
1976,Minnesota,Fire
1976,Minnesota,Fire
1976,Minnesota,Fire
1976,Minnesota,Fire
1976,New York,Tropical Storm
1976,New Jersey,Severe Storm/Flooding
1976,Vermont,Severe Storm/Flooding
1976,Colorado,Severe Storm/Flooding
1976,Missouri,Severe Storm/Flooding
1976,North Dakota,Other
1976,New York,Severe Storm/Flooding
1976,Kansas,Severe Storm/Flooding
1976,Pennsylvania,Severe Storm/Flooding
1976,New York,Severe Storm/Flooding
1976,South Dakota,Severe Storm/Flooding
1976,Texas,Severe Storm/Flooding
1976,Illinois,Severe Storm/Flooding
1976,South Dakota,Other
1976,Wisconsin,Other
1976,Minnesota,Other
1976,Georgia,Severe Storm/Flooding
1976,Idaho,Other
1976,Oklahoma,Severe Storm/Flooding
1976,North Dakota,Severe Storm/Flooding
1976,North Dakota,Severe Storm/Flooding
1976,Nebraska,Winter Storm
1976,Oklahoma,Severe Storm/Flooding
1976,Arkansas,Severe Storm/Flooding
1976,Mississippi,Severe Storm/Flooding
1976,Wisconsin,Severe Storm/Flooding
1976,New York,Winter Storm
1976,Michigan,Severe Storm/Flooding
1977,Washington,Severe Storm/Flooding
1977,Virginia,Severe Storm/Flooding
1977,Tennessee,Severe Storm/Flooding
1977,North Carolina,Severe Storm/Flooding
1977,Georgia,Severe Storm/Flooding
1977,Arizona,Severe Storm/Flooding
1977,Wisconsin,Other
1977,Kansas,Severe Storm/Flooding
1977,Missouri,Severe Storm/Flooding
1977,Vermont,Other
1977,West Virginia,Other
1977,West Virginia,Severe Storm/Flooding
1977,Montana,Other
1977,Idaho,Fire
1977,North Carolina,Other
1977,California,Fire
1977,South Carolina,Other
1977,Virginia,Other
1977,Maine,Fire
1977,Pennsylvania,Severe Storm/Flooding
1977,Alabama,Other
1977,Georgia,Other
1977,Montana,Fire
1977,New Mexico,Fire
1977,Wyoming,Other
1977,Nevada,Other
1977,Georgia,Other
1977,Missouri,Severe Storm/Flooding
1977,Idaho,Other
1977,Louisiana,Severe Storm/Flooding
1977,Oregon,Other
1977,Tennessee,Severe Storm/Flooding
1977,Arizona,Other
1977,Alabama,Severe Storm/Flooding
1977,Virginia,Severe Storm/Flooding
1977,West Virginia,Severe Storm/Flooding
1977,Kentucky,Severe Storm/Flooding
1977,Washington,Other
1977,Iowa,Other
1977,Michigan,Other
1977,North Carolina,Winter Storm
1977,New Mexico,Other
1977,Louisiana,Winter Storm
1977,Mississippi,Winter Storm
1977,New Jersey,Winter Storm
1977,Michigan,Winter Storm
1977,New York,Winter Storm
1977,Ohio,Winter Storm
1977,Indiana,Winter Storm
1977,Florida,Winter Storm
1977,Colorado,Other
1977,Pennsylvania,Winter Storm
1977,New York,Winter Storm
1977,Maryland,Winter Storm
1977,Virginia,Winter Storm
1977,Utah,Other
1977,California,Other
1977,West Virginia,Other
1977,Oklahoma,Fire
