Year,State,Avg Temperature Index
1967,New York,43.758333333333326
1968,New York,43.93333333333334
1969,New York,44.15833333333333
1970,New York,44.083333333333336
1971,New York,44.34166666666667
1972,New York,43.09166666666667
1973,New York,46.38333333333333
1974,New York,44.199999999999996
1975,New York,45.48333333333334
1976,New York,43.199999999999996
1977,New York,44.5
1978,New York,42.866666666666674
1979,New York,44.60833333333333
1980,New York,43.61666666666667
1981,New York,44.650000000000006
1982,New York,44.35833333333334
1983,New York,45.53333333333333
1984,New York,45.199999999999996
1985,New York,44.69166666666666
1986,New York,45.09166666666667
1987,New York,45.66666666666668
1988,New York,44.849999999999994
1989,New York,43.800000000000004
1990,New York,47.275
1991,New York,47.091666666666676
1992,New York,43.76666666666667
1993,New York,44.18333333333334
1994,New York,44.34166666666666
1995,New York,45.23333333333333
1996,New York,44.55833333333334
1997,New York,44.33333333333332
1998,New York,48.34166666666666
1999,New York,46.900000000000006
2000,New York,44.88333333333333
2001,New York,46.94166666666667
2002,New York,46.833333333333336
2003,New York,44.525
2004,New York,45.17499999999999
2005,New York,46.224999999999994
2006,New York,47.64166666666667
2007,New York,45.65833333333333
2008,New York,45.791666666666664
2009,New York,45.01666666666666
2010,New York,47.25
2011,New York,47.125
2012,New York,48.85
2013,New York,45.73333333333333
2014,New York,44.525000000000006
2015,New York,45.69166666666666
2016,New York,47.61666666666667
1956,North Carolina,59.13333333333333
1957,North Carolina,59.30000000000001
1958,North Carolina,56.78333333333333
1959,North Carolina,59.1
1960,North Carolina,57.199999999999996
1961,North Carolina,57.95000000000001
1962,North Carolina,57.6
1963,North Carolina,56.708333333333336
1964,North Carolina,58.083333333333336
1965,North Carolina,58.175000000000004
1966,North Carolina,56.85833333333333
1967,North Carolina,57.150000000000006
1968,North Carolina,57.225000000000016
1969,North Carolina,56.958333333333336
1970,North Carolina,58.44166666666667
1971,North Carolina,58.69166666666667
1972,North Carolina,58.041666666666664
1973,North Carolina,58.94999999999999
1974,North Carolina,59.01666666666666
1975,North Carolina,59.333333333333314
1976,North Carolina,57.30000000000001
1977,North Carolina,58.31666666666666
1978,North Carolina,57.449999999999996
1979,North Carolina,57.633333333333326
1980,North Carolina,57.92499999999999
1981,North Carolina,57.19166666666667
1982,North Carolina,58.550000000000004
1983,North Carolina,57.85833333333333
1984,North Carolina,58.63333333333335
1985,North Carolina,59.199999999999996
1986,North Carolina,59.791666666666664
1987,North Carolina,58.46666666666667
1988,North Carolina,57.275000000000006
1989,North Carolina,58.225
1990,North Carolina,61.09166666666666
1991,North Carolina,60.23333333333333
1992,North Carolina,58.20833333333332
1993,North Carolina,58.73333333333334
1994,North Carolina,59.01666666666667
1995,North Carolina,58.44999999999999
1996,North Carolina,57.791666666666664
1997,North Carolina,58.099999999999994
1998,North Carolina,60.833333333333336
1999,North Carolina,59.70000000000001
2000,North Carolina,58.38333333333335
2001,North Carolina,59.4
2002,North Carolina,59.98333333333333
2003,North Carolina,58.725
2004,North Carolina,59.34166666666667
2005,North Carolina,59.43333333333334
2006,North Carolina,59.83333333333334
2007,North Carolina,60.48333333333333
2008,North Carolina,59.33333333333332
2009,North Carolina,58.88333333333335
2010,North Carolina,59.025000000000006
2011,North Carolina,60.40833333333333
2012,North Carolina,60.73333333333333
2013,North Carolina,58.55833333333333
2014,North Carolina,58.349999999999994
2015,North Carolina,60.525000000000006
2016,North Carolina,60.85833333333334
1956,North Dakota,39.1
1957,North Dakota,40.05833333333333
1958,North Dakota,40.62499999999999
1959,North Dakota,39.475
1960,North Dakota,39.6
1961,North Dakota,41.09166666666666
1962,North Dakota,39.849999999999994
1963,North Dakota,41.93333333333333
1964,North Dakota,39.74999999999999
1965,North Dakota,37.666666666666664
1966,North Dakota,38.09166666666666
1967,North Dakota,39.3
1968,North Dakota,39.475
1969,North Dakota,38.733333333333334
1970,North Dakota,38.43333333333333
1971,North Dakota,39.06666666666667
1972,North Dakota,37.583333333333336
1973,North Dakota,41.775
1974,North Dakota,39.90833333333334
1975,North Dakota,39.44166666666667
1976,North Dakota,41.275
1977,North Dakota,41.074999999999996
1978,North Dakota,38.15
1979,North Dakota,37.23333333333333
1980,North Dakota,41.175
1981,North Dakota,43.224999999999994
1982,North Dakota,37.84166666666666
1983,North Dakota,41.141666666666666
1984,North Dakota,41.050000000000004
1985,North Dakota,38.24166666666667
1986,North Dakota,41.65833333333333
1987,North Dakota,45.03333333333333
1988,North Dakota,42.425000000000004
1989,North Dakota,39.4
1990,North Dakota,42.56666666666666
1991,North Dakota,42.325
1992,North Dakota,41.24166666666667
1993,North Dakota,38.28333333333333
1994,North Dakota,39.99166666666667
1995,North Dakota,39.625
1996,North Dakota,36.51666666666667
1997,North Dakota,40.691666666666656
1998,North Dakota,43.208333333333336
1999,North Dakota,42.958333333333336
2000,North Dakota,41.075
2001,North Dakota,42.25
2002,North Dakota,40.99999999999999
2003,North Dakota,40.78333333333333
2004,North Dakota,40.541666666666664
2005,North Dakota,42.4
2006,North Dakota,43.833333333333336
2007,North Dakota,41.766666666666666
2008,North Dakota,39.33333333333333
2009,North Dakota,38.525
2010,North Dakota,40.87500000000001
2011,North Dakota,40.66666666666667
2012,North Dakota,44.133333333333326
2013,North Dakota,38.800000000000004
2014,North Dakota,38.99166666666667
2015,North Dakota,43.375
2016,North Dakota,44.33333333333334
1956,Ohio,50.650000000000006
1957,Ohio,50.76666666666667
1958,Ohio,48.35833333333333
1959,Ohio,51.275
1960,Ohio,49.21666666666667
1961,Ohio,50.025
1962,Ohio,49.42500000000001
1963,Ohio,48.5
1964,Ohio,50.875
1965,Ohio,50.449999999999996
1966,Ohio,49.133333333333326
1967,Ohio,49.49166666666667
1968,Ohio,49.725000000000016
1969,Ohio,49.375
1970,Ohio,50.56666666666666
1971,Ohio,50.574999999999996
1972,Ohio,49.36666666666667
1973,Ohio,52.16666666666668
1974,Ohio,50.400000000000006
1975,Ohio,51.13333333333333
1976,Ohio,48.90833333333333
1977,Ohio,50.033333333333324
1978,Ohio,48.31666666666666
1979,Ohio,48.88333333333333
1980,Ohio,49.31666666666667
1981,Ohio,49.574999999999996
1982,Ohio,50.324999999999996
1983,Ohio,51.050000000000004
1984,Ohio,50.375
1985,Ohio,50.41666666666668
1986,Ohio,51.64166666666666
1987,Ohio,52.26666666666666
1988,Ohio,50.36666666666667
1989,Ohio,49.42500000000001
1990,Ohio,52.666666666666664
1991,Ohio,53.12500000000001
1992,Ohio,50.29166666666666
1993,Ohio,50.40833333333333
1994,Ohio,50.46666666666667
1995,Ohio,50.34166666666667
1996,Ohio,49.53333333333333
1997,Ohio,49.94166666666667
1998,Ohio,54.1
1999,Ohio,52.31666666666667
2000,Ohio,50.791666666666664
2001,Ohio,52.366666666666674
2002,Ohio,52.54999999999999
2003,Ohio,50.23333333333333
2004,Ohio,51.350000000000016
2005,Ohio,51.79999999999999
2006,Ohio,52.708333333333336
